Timestamp,Market Open Interest,Daily Range,10 Day  Average Daily Range,10 Day Average MOI,Greater MOI,Greater DR
04-12-2015,198298,26,42.5,199282.3,0,0
03-12-2015,196965,31,42,199626.6,0,0
02-12-2015,197956,38,41.5,200038.3,0,0
01-12-2015,199305,38,36.4,200358.2,0,1
30-11-2015,193953,28,36,199709.8,0,0
27-11-2015,194549,35,33.5,198964.8,0,1
26-11-2015,194696,32,33.8,198377.6,0,0
25-11-2015,196451,47,34.8,197805.9,0,1
24-11-2015,196241,30,34.3,197119,0,0
23-11-2015,197011,41,34.6,196542.5,1,1
20-11-2015,200884,28,34.8,196801.1,1,0
19-11-2015,199897,27,34.4,197094.3,1,0
18-11-2015,198795,51,35.7,197178.2,1,1
17-11-2015,198126,37,35.6,197060.3,1,1
16-11-2015,195872,57,38.5,197252.2,0,1
13-11-2015,198263,65,41.5,197623.6,1,1
12-11-2015,196927,32,41.5,197846.7,0,0
11-11-2015,197004,31,39.9,197902,0,0
09-11-2015,195530,42,41.1,197830.9,0,1
06-11-2015,196363,30,40,197766.1,0,0
05-11-2015,197291,41,41.3,197406.8,0,0
04-11-2015,194603,63,44.9,196877.4,0,1
03-11-2015,198162,36,43.4,196814.1,1,0
02-11-2015,193093,46,44.3,196310.8,0,1
30-10-2015,192451,51,43.7,195968.7,0,1
29-10-2015,189732,41,41.3,195115.6,0,0
28-10-2015,187200,44,42.5,194142.9,0,1
27-10-2015,187791,71,46.5,193221.6,0,1
26-10-2015,184715,50,47.3,192140.1,0,1
23-10-2015,185332,26,46.9,191037,0,0
22-10-2015,185341,34,46.2,189842,0,0
21-10-2015,185571,33,43.2,188938.8,0,0
20-10-2015,190983,52,44.8,188220.9,1,1
19-10-2015,189959,48,45,187907.5,1,1
16-10-2015,187534,41,44,187415.8,1,0
15-10-2015,191498,48,44.7,187592.4,1,1
13-10-2015,191498,94,49.7,188022.2,1,1
12-10-2015,191824,30,45.6,188425.5,1,0
09-10-2015,191875,42,44.8,189141.5,1,0
08-10-2015,191011,75,49.7,189709.4,1,1
07-10-2015,186968,71,53.4,189872.1,0,1
06-10-2015,186228,91,59.2,189937.8,0,1
05-10-2015,182615,38,57.8,189101,0,0
02-10-2015,182973,73,60.3,188402.4,0,1
01-10-2015,182836,85,64.7,187932.6,0,1
30-09-2015,188347,85,68.4,187617.5,1,1
29-09-2015,187423,108,69.8,187210,1,1
28-09-2015,192641,106,77.4,187291.7,1,1
25-09-2015,192394,62,79.4,187343.6,1,0
23-09-2015,192246,61,78,187467.1,1,0
22-09-2015,192401,41,75,188010.4,1,0
21-09-2015,204419,79,73.8,189829.5,1,1
18-09-2015,198286,55,75.5,191396.6,1,0
17-09-2015,193671,53,73.5,192466.4,1,0
15-09-2015,194308,61,71.1,193613.6,1,0
14-09-2015,199501,61,68.7,194729,1,0
11-09-2015,197101,48,62.7,195696.8,1,0
10-09-2015,200177,60,58.1,196450.4,1,1
09-09-2015,203165,46,56.5,197527.5,1,0
08-09-2015,204696,54,55.8,198772.5,1,0
07-09-2015,209114,50,56.7,200443.8,1,0
04-09-2015,210680,33,52.1,201069.9,1,0
03-09-2015,216989,71,53.7,202940.2,1,1
02-09-2015,216322,22,50.6,205205.3,1,0
01-09-2015,215181,46,49.1,207292.6,1,0
28-08-2015,213112,57,48.7,208653.7,1,1
27-08-2015,217290,55,49.4,210672.6,1,1
26-08-2015,219509,38,47.2,212605.8,1,0
